original_folder	breed_name	filename	description
n02098413-Lhasa	Lhasa	n02098413_16009.jpg	"The dog is a Lhasa.  
It has a fluffy, medium-length coat with a mix of brown, tan, and gray hues, giving it a soft, textured appearance. The puppy’s face is framed by slightly longer fur around the muzzle and cheeks, and its dark eyes are bright and alert. Its ears are small and floppy, blending into the dense fur. The dog stands on all fours on a beige carpeted floor, with its tail held upright in a relaxed stance. Behind it, there is a dark blue fabric, possibly a piece of furniture or clothing, and a light-colored wall in the background."
n02098413-Lhasa	Lhasa	n02098413_3428.jpg	"The dog is a Lhasa.  
It has long, fluffy fur that is predominantly white with rich brown patches around its face and ears. The dog is standing on a polished wooden floor, holding a blue polka-dotted toy in its mouth, suggesting playful behavior. Its tail is curled up over its back, adding to its poised and alert stance. The background features a simple indoor setting with light-colored walls and dark baseboards, giving the impression of a home environment. The lighting is soft and natural, highlighting the dog's silky coat and expressive eyes."
n02098413-Lhasa	Lhasa	n02098413_7441.jpg	"The dog is a Lhasa.  
It has long, flowing fur that is a mix of gray, white, and black, giving it a soft and slightly shaggy appearance. The dog's face is partially obscured by its thick hair, but its dark eyes and open mouth suggest a relaxed or playful expression. It is lying down on a patterned cushion with small colorful dots, possibly resting on a couch or chair. Behind the dog, there is a dark blue fabric backdrop, likely part of the furniture. The overall scene conveys a cozy and calm atmosphere."
n02098413-Lhasa	Lhasa	n02098413_5638.jpg	"The dog is a Lhasa.  
It has a fluffy, long white coat that covers its face and body, giving it a soft and cuddly appearance. The dog’s dark eyes are partially hidden by its fur, and it has a small black nose with a gentle expression. It is standing on a patch of green grass, likely in a yard or park, with its front legs slightly apart. The dog appears to be looking directly at the camera, creating a sense of connection with the viewer. The overall scene suggests a calm and pleasant outdoor setting."
n02098413-Lhasa	Lhasa	n02098413_1702.jpg	"The dog is a Lhasa.  
It has long, soft, cream-colored fur that frames its face and drapes gently over its ears. The dog’s dark, expressive eyes are wide and alert, giving it an attentive and curious expression. Its small, dark nose contrasts with the light fur around it, and its mouth is closed in a calm demeanor. The dog is sitting or standing still, facing slightly to the left, with its head turned toward the camera. The background is dimly lit and blurred, suggesting an indoor setting with warm lighting that highlights the dog's features."
n02098413-Lhasa	Lhasa	n02098413_3114.jpg	"The dog is a Lhasa.  
It has long, fluffy white fur with grayish-black patches around its muzzle and ears, giving it a distinguished, older look. The dog is wearing a bright blue outfit adorned with white polka dots and a small bow, adding a playful touch to its appearance. Its expression is calm and slightly serious, with dark eyes gazing directly at the camera. The background appears to be an outdoor setting with a wooden wall and concrete surface, suggesting a backyard or patio area. The dog’s posture is upright, indicating attentiveness and comfort in its surroundings."
n02098413-Lhasa	Lhasa	n02098413_9008.jpg	"The dog is a Lhasa.  
It has long, fluffy white fur with darker brown markings around its face and ears, giving it a distinctive and charming appearance. The dog is running energetically down a tiled hallway, holding a bright orange ball in its mouth. Its tail is curled up high, adding to the sense of motion and playfulness. The hallway has light-colored walls and flooring, with a closed door visible in the background and a small object on the floor to the side. The overall scene conveys a joyful and lively moment indoors."
n02098413-Lhasa	Lhasa	n02098413_2911.jpg	"The dog is a Lhasa.  
It has a long, shaggy coat with rich brown fur and white markings on its face, chest, and paws. The dog's fur is particularly dense around the face, giving it a distinctive, expressive appearance. Its mouth is open, showing a pink tongue, suggesting it might be panting or excited. The dog stands on a tiled floor in what appears to be a kitchen, with wooden cabinets and a white appliance visible in the background. The lighting is warm, highlighting the soft texture of its fur."
n02098413-Lhasa	Lhasa	n02098413_2536.jpg	"The dog is a Lhasa.  
It has long, flowing fur that cascades over its face and body, giving it a regal and somewhat mysterious appearance. The fur is primarily light gray with hints of tan and darker shading around the muzzle and eyes. Its dark, expressive eyes are partially hidden beneath the thick hair, adding to its gentle and serene expression. The dog appears to be standing calmly, possibly at a dog show, as suggested by the blurred background with red tones and a hint of a leash or harness. The overall impression is one of elegance and meticulous grooming."
n02098413-Lhasa	Lhasa	n02098413_3995.jpg	"The dog is a Lhasa.  
It has long, silky fur that is predominantly gray with lighter, almost white patches around its face and chest. The dog's expressive dark eyes are framed by fluffy hair, giving it a gentle and attentive expression. It appears to be sitting closely beside a person wearing a striped shirt, with its head slightly tilted upward as if looking at something off-camera. In the background, there is a bookshelf filled with CDs or DVDs, suggesting a cozy indoor setting. A dark-colored couch and a light-colored wall complete the domestic scene."
